id;x;y
26267192;-8.4433893;41.5164184
26267211;-8.4446036;41.5181619
26267389;-8.4439183;41.5322486
26268327;-8.4301614;41.5170812
26269015;-8.4084133;41.535961
26270222;-8.4322659;41.5511244
26270224;-8.4314019;41.5522525
26270465;-8.4457755;41.5361016
26270505;-8.4423702;41.5193878
26270509;-8.4408459;41.5196267
26270740;-8.424711;41.5186584
26270764;-8.4104938;41.5355921
208911309;-8.4229398;41.5510799
208928897;-8.4130525;41.5456182
208928901;-8.4146055;41.5478204
208949058;-8.4256795;41.5444941
208954749;-8.4224739;41.5453071
208954755;-8.4241223;41.5449369
208954759;-8.4258293;41.5445454
208960680;-8.4336953;41.5393323
208964311;-8.4337006;41.5390993
208971339;-8.4412508;41.5307057
208971344;-8.4432799;41.5299053
208977479;-8.444435;41.5265753
210581697;-8.4166249;41.5483678
210587666;-8.4153874;41.5489474
210606620;-8.4154837;41.5490866
210606632;-8.4178904;41.5472814
210608778;-8.4135834;41.5498312
210610916;-8.4168602;41.5482722
210613572;-8.4135873;41.5497362
210959966;-8.422447;41.5452414
210962203;-8.4179941;41.547079
211283281;-8.4132405;41.5482997
211284516;-8.413185;41.5494654
211284519;-8.4133833;41.5493791
211284520;-8.4130891;41.5490004
211284761;-8.413436;41.549801
211285767;-8.4128822;41.5490828
211308050;-8.4120419;41.5467751
211309060;-8.4103075;41.5491419
211311470;-8.4097492;41.5468945
211316921;-8.4138853;41.5525587
211316924;-8.4122532;41.5527658
211327581;-8.4070584;41.5543923
211327588;-8.4074343;41.5548578
211327592;-8.4081811;41.5548222
211334527;-8.4070549;41.5543361
211334531;-8.4069643;41.5527359
211338605;-8.407466;41.5585878
211342668;-8.406693;41.5534597
211342676;-8.407327;41.5585977
211374355;-8.4052879;41.5481913
211374357;-8.4062356;41.5514057
211376184;-8.4063582;41.5513781
211383595;-8.4075698;41.5524054
211383600;-8.4112083;41.5508374
211384249;-8.4069118;41.5531081
211386928;-8.4075501;41.5522169
211387923;-8.4066369;41.5520859
211398113;-8.399698;41.5555299
211398673;-8.4060627;41.5527894
211399766;-8.4059374;41.5530631
211399776;-8.3997653;41.5556214
211406339;-8.4084033;41.5520088
211406718;-8.4083356;41.5519216
211418008;-8.4073327;41.5599112
211418009;-8.4072911;41.5601154
211418016;-8.4076999;41.5601623
211420558;-8.4076949;41.5598031
211423646;-8.4081758;41.5600161
211425615;-8.4082859;41.5609498
211427482;-8.4083606;41.5614892
211429233;-8.4087681;41.5609082
211430818;-8.4086599;41.5599621
211435739;-8.4104561;41.5596007
211438244;-8.4103177;41.5617527
211438246;-8.4093064;41.5614166
213265749;-8.4102317;41.5591681
213265757;-8.4101925;41.5580523
213266828;-8.4076401;41.5576427
213266831;-8.4101874;41.5575892
213268311;-8.4073759;41.5578109
213268614;-8.4073468;41.557499
213270941;-8.4149154;41.5581718
213270954;-8.4153989;41.557844
213270963;-8.4154925;41.5582073
213271936;-8.4142332;41.5576807
213274270;-8.4160483;41.5578396
213274272;-8.4170408;41.5576413
213279105;-8.4173128;41.5578175
213279111;-8.4174593;41.5575292
213279114;-8.4176361;41.5574926
213281819;-8.41751;41.5574044
213281832;-8.4171609;41.5517669
213682107;-8.4095936;41.5541699
213682109;-8.4129988;41.5567499
213714421;-8.3978591;41.5566369
213714423;-8.3979065;41.5565683
213716371;-8.3941319;41.5560805
213716377;-8.3949952;41.5558638
213721873;-8.3897645;41.55725
213728818;-8.3770528;41.557072
213748332;-8.396373;41.532613
213748334;-8.3957441;41.5326369
213757502;-8.409255;41.5355959
213757504;-8.4086755;41.5352912
213757514;-8.4061242;41.535837
213757518;-8.404788;41.5351281
213758538;-8.4102826;41.53613
213758544;-8.4107544;41.5357678
213758545;-8.4107878;41.5356897
213768539;-8.3905231;41.5207831
213775103;-8.3856062;41.527916
213781893;-8.3896899;41.5573171
213786304;-8.3884329;41.5559469
213790954;-8.385128;41.5547284
213798026;-8.3807565;41.5519812
213798053;-8.3791835;41.5542715
215735664;-8.4073589;41.5602651
215735667;-8.4073484;41.5601738
215738872;-8.409966;41.5625028
215738886;-8.4076206;41.5619622
215751302;-8.4158668;41.5618121
215753608;-8.4312521;41.5524529
215856030;-8.4100372;41.5601529
215856035;-8.409101;41.559896
216283011;-8.423627;41.5536925
216283020;-8.4241709;41.5546979
218616926;-8.424981;41.5573854
218617926;-8.4243198;41.5546137
218621330;-8.4247441;41.5550869
218621331;-8.4246291;41.555129
218621339;-8.4246442;41.5549225
218621512;-8.4244975;41.5550044
218631489;-8.4117468;41.5397025
218631975;-8.4175521;41.5419476
218631978;-8.4175585;41.5421189
218636265;-8.407809;41.5576418
218636706;-8.4086359;41.5596452
218641632;-8.4116981;41.5517507
218645720;-8.4491472;41.5174027
218648866;-8.4491844;41.5170029
224541596;-8.4112083;41.5428866
224566543;-8.4196887;41.533703
224566544;-8.4228079;41.5356308
224566546;-8.4233753;41.5363897
224568303;-8.4191754;41.5232081
224568305;-8.4188927;41.5230685
224572059;-8.4202457;41.5218647
224575270;-8.4189507;41.5219562
224575306;-8.417898;41.523424
224576354;-8.4189189;41.5220151
224576357;-8.4190945;41.5222189
224577514;-8.4190317;41.5225907
224597409;-8.4111802;41.550745
224598890;-8.4146619;41.5508009
224599593;-8.4125458;41.5526627
224599595;-8.4127044;41.5516116
224600866;-8.411881;41.5505482
224601819;-8.4156272;41.5521401
224602549;-8.4162222;41.5501343
224604736;-8.4139709;41.5469425
226216059;-8.4185803;41.5593901
226216060;-8.4183389;41.5589453
226216061;-8.417996;41.5583306
226217845;-8.4190405;41.5601915
226219142;-8.4186933;41.5633063
226220063;-8.4187609;41.5644133
226223734;-8.4189367;41.5616095
226224088;-8.4181535;41.561197
226231612;-8.4182721;41.561901
226239131;-8.4186385;41.5595009
226239142;-8.4185143;41.5600173
226239161;-8.4169243;41.5615822
226244106;-8.4182049;41.5601778
226250056;-8.418763;41.5620035
226251721;-8.4182229;41.5616646
226258682;-8.41748;41.5616678
226450933;-8.4319158;41.5423942
226450936;-8.4319211;41.542328
226454331;-8.4307231;41.542789
226454339;-8.432035;41.5429981
226454341;-8.4326041;41.5436298
226454804;-8.4302392;41.54295
226528669;-8.4320957;41.5417756
226540216;-8.4334602;41.5445571
226540218;-8.4334607;41.5444974
226540227;-8.4332721;41.5443339
226540232;-8.4330846;41.5444334
226540234;-8.4331792;41.5446201
226612497;-8.4336151;41.549166
226616389;-8.4338761;41.5490791
226616390;-8.4335905;41.5492961
226624453;-8.4330465;41.5498616
226624457;-8.4329538;41.5500123
226624460;-8.4332557;41.5500147
226624470;-8.4332655;41.5499693
226624479;-8.4329875;41.5500545
226634382;-8.4325015;41.551609
226634386;-8.4332038;41.5512696
227020016;-8.4341333;41.549428
227036045;-8.4177825;41.5494035
227037687;-8.4207479;41.5474475
227037689;-8.4196937;41.5477916
227037692;-8.4192123;41.5480171
227038142;-8.419169;41.5469224
227107622;-8.4056231;41.5549726
227107698;-8.3982566;41.558049
227107700;-8.3993178;41.557344
227107702;-8.4000379;41.5568656
227110577;-8.398058;41.5582047
227110578;-8.3979898;41.5580544
227110580;-8.3978718;41.5580066
229113089;-8.4252596;41.541744
229113912;-8.4205316;41.54498
229113913;-8.4254249;41.5437968
229117274;-8.4199033;41.5565367
229118366;-8.4187285;41.5571435
229118369;-8.418148;41.5576645
229118373;-8.4179653;41.5577827
229122033;-8.4203429;41.5564597
229122039;-8.421945;41.5560743
229133365;-8.4177077;41.5463135
229133370;-8.4154672;41.5474882
229141294;-8.4070956;41.5549563
229406777;-8.4335969;41.544138
229406779;-8.4342382;41.5436727
229406781;-8.4355678;41.5426071
229406792;-8.4397394;41.5352365
229406797;-8.4408359;41.534855
229722414;-8.4497862;41.5355007
229722419;-8.4499884;41.5369753
229722425;-8.4507532;41.5374246
229722442;-8.4536426;41.5369861
229722454;-8.4596238;41.5340893
229859992;-8.4120661;41.5401968
229875720;-8.4192464;41.5449062
229875727;-8.4184082;41.545157
229878837;-8.418007;41.5460327
229879165;-8.4168991;41.5453701
229881772;-8.4186781;41.5451059
231896127;-8.418123;41.543013
231903245;-8.3919185;41.5586064
231903268;-8.3952006;41.557415
231912304;-8.3966142;41.5562741
231912311;-8.3967179;41.5566985
232344972;-8.3960789;41.5561655
232345031;-8.3948887;41.5551237
232348491;-8.3951569;41.5530541
232364983;-8.3972922;41.5470332
232370006;-8.4030666;41.5484519
232370012;-8.4029331;41.5483043
232370015;-8.4030507;41.5482066
232370018;-8.4033408;41.5481805
232370020;-8.4034257;41.5482008
232370022;-8.4034875;41.5483496
232370026;-8.403356;41.5484291
232370653;-8.4029712;41.5484295
232371394;-8.4064985;41.5478078
232373999;-8.4049802;41.5471134
232374009;-8.4042088;41.5481623
232375149;-8.4055348;41.5490352
232376495;-8.4049947;41.5480426
232376986;-8.405614;41.5479479
232380896;-8.4056596;41.5490132
232380916;-8.4063033;41.5478384
232381802;-8.4051041;41.5470925
232385125;-8.4051914;41.547871
232388077;-8.4054168;41.5481636
232389902;-8.4053258;41.5478518
235241099;-8.408859;41.5472626
235241103;-8.4093889;41.5474968
235529602;-8.3990808;41.544981
235529608;-8.399068;41.5449569
235529610;-8.3991191;41.5447587
235529624;-8.3994237;41.544714
235529626;-8.3994493;41.5447372
235529628;-8.3994255;41.544953
235529634;-8.3993392;41.5450339
235533042;-8.3992335;41.5422851
235533055;-8.3987496;41.5418928
235533060;-8.3983745;41.5421826
235533061;-8.3991508;41.5418495
235533063;-8.3987376;41.5422756
235533065;-8.3988503;41.5423336
235534691;-8.3992036;41.5446961
241670341;-8.3985125;41.5403205
241670343;-8.3983419;41.5402039
241670347;-8.3984117;41.539968
241670351;-8.3987261;41.5399382
241670352;-8.3987986;41.539979
241670358;-8.3988192;41.5402479
241670359;-8.3987511;41.5402958
241935073;-8.4021011;41.5417743
241935077;-8.4028686;41.5418286
241935080;-8.4036931;41.5426451
241935770;-8.4035344;41.541458
241935782;-8.403279;41.5416421
241935783;-8.4035176;41.5417153
241936010;-8.4039577;41.5415674
241936184;-8.4037277;41.5413159
241936213;-8.4036807;41.5417046
241936395;-8.4039637;41.5414874
241936520;-8.4032575;41.5415659
241936684;-8.4047274;41.5414376
241936841;-8.4039127;41.542951
241937572;-8.403727;41.545103
241937573;-8.399757;41.5448838
241937594;-8.4044859;41.5453972
241937996;-8.4043118;41.5447869
241939681;-8.4079074;41.5588797
241939684;-8.4102192;41.5588373
241942007;-8.4082384;41.5557828
241942010;-8.4085098;41.5573258
241942011;-8.4085519;41.5576144
241942592;-8.4322987;41.5760546
242111549;-8.4032186;41.5365043
242111550;-8.4030701;41.5365707
242111557;-8.4029476;41.5364023
242111560;-8.4031598;41.5363029
242111562;-8.4033952;41.536215
242111563;-8.403454;41.536216
242111566;-8.4035595;41.5362916
242111817;-8.4038777;41.536138
242133227;-8.3840712;41.5630501
242133229;-8.3839121;41.5630901
242133233;-8.3836541;41.5628691
242133234;-8.3836756;41.5628143
242133237;-8.3840119;41.5626134
242133240;-8.3842701;41.5628374
242133380;-8.384275;41.5627605
242134568;-8.3777424;41.5661378
242137472;-8.4039848;41.561061
242140555;-8.4047631;41.553536
242140556;-8.4049644;41.5538521
242140972;-8.3969801;41.5588274
242144940;-8.3804381;41.5686107
242144944;-8.3853066;41.5668439
242144953;-8.3879642;41.5627104
