id;x;y
208911309;-8.4229398;41.5510799
213281832;-8.4171609;41.5517669
216283011;-8.423627;41.5536925
216283020;-8.4241709;41.5546979
218617926;-8.4243198;41.5546137
218621330;-8.4247441;41.5550869
218621331;-8.4246291;41.555129
218621339;-8.4246442;41.5549225
218621512;-8.4244975;41.5550044
227036045;-8.4177825;41.5494035
227037687;-8.4207479;41.5474475
227037689;-8.4196937;41.5477916
227037692;-8.4192123;41.5480171
229122039;-8.421945;41.5560743
243777037;-8.4254406;41.5539449
243777880;-8.425608;41.5538184
243857805;-8.4221996;41.5481954
243857806;-8.4225092;41.5484534
243857807;-8.4231686;41.5491805
243857884;-8.4241126;41.5496353
243891817;-8.4276208;41.5521182
243891818;-8.4279143;41.5528014
243891839;-8.4257325;41.5537041
243891845;-8.4265672;41.5540336
243891852;-8.4257828;41.5539409
243891925;-8.4253161;41.552962
243891939;-8.4265626;41.5528703
244029709;-8.4250881;41.5549102
245054852;-8.4283521;41.5486766
245054853;-8.4285426;41.5496324
245054899;-8.4281567;41.5476906
245054958;-8.4270732;41.5490582
245055914;-8.4282321;41.5518902
245058608;-8.4206764;41.5539199
245058609;-8.4212033;41.5535702
245058610;-8.4206632;41.5531377
245058611;-8.4201467;41.5535093
245058962;-8.4205498;41.5518102
248805075;-8.418313;41.5489113
330378787;-8.4183749;41.5542877
343675936;-8.4169997;41.5546375
343676521;-8.4211206;41.5559285
343676599;-8.4207235;41.5550068
343676622;-8.4214272;41.5551197
343676754;-8.4219671;41.5554285
343677045;-8.4220253;41.5536161
361089891;-8.4281512;41.5507855
361089893;-8.428729;41.55074
361089952;-8.4282552;41.5512532
361090709;-8.4274416;41.548949
361090716;-8.4285207;41.5474986
361091565;-8.4282972;41.5537327
361091678;-8.428255;41.5536304
914277410;-8.4287857;41.5511201
1241195355;-8.4206995;41.5546281
1331166091;-8.4274023;41.5515768
1353874672;-8.422991;41.5554154
1462972897;-8.4216966;41.5489174
1462972900;-8.4215584;41.5489944
1462972942;-8.4215785;41.551775
1480202760;-8.4253477;41.5483108
1480221499;-8.4269297;41.5549087
1480230939;-8.4247912;41.5555592
1480230941;-8.4225964;41.5556746
1584782241;-8.426354;41.5478799
1603656860;-8.4236724;41.549003
1640687796;-8.4218036;41.5555472
1640687810;-8.4225214;41.5549904
1640698221;-8.4246803;41.5549285
1650509909;-8.4251057;41.5559118
1650509911;-8.4249623;41.555946
1709948072;-8.4187909;41.5534206
1720871371;-8.4189534;41.5504431
1763916882;-8.4240416;41.5558209
1763916884;-8.4243595;41.5548744
1763916887;-8.4241611;41.5550082
1785414721;-8.4261461;41.5550876
1786193330;-8.4275169;41.5480278
1786193355;-8.4280355;41.5487713
1806495889;-8.4242173;41.5546694
1818309989;-8.4285058;41.547362
1818309995;-8.4287783;41.5474314
1851905243;-8.4204208;41.5496143
2057080323;-8.4174005;41.5517233
2057080325;-8.4183114;41.5516399
2435308256;-8.4172616;41.5516137
2439088601;-8.421071;41.5480013
2681450611;-8.4185046;41.5530645
3928549593;-8.4177266;41.5543361
4410122932;-8.417684;41.5528021
4991405942;-8.4264131;41.5528776
4991413549;-8.4205935;41.5504392
8821676033;-8.4238506;41.5492268
