u;v;oneway;length;geometry;name
26268327;2681487632;True;185.11400000000003;LINESTRING (-8.4286899 41.5182027, -8.4288243 41.5179476, -8.428866 41.5178657, -8.4289245 41.5177641, -8.4290365 41.5176148, -8.4291221 41.5175303, -8.429221 41.5174443, -8.4293307 41.5173716, -8.4294764 41.51729, -8.4296022 41.5172341, -8.4297086 41.5171986, -8.4301614 41.5170812);
26269015;512545156;True;534.5069999999998;LINESTRING (-8.4084133 41.535961, -8.4081715 41.5360199, -8.4079654 41.5360914, -8.4078027 41.536162, -8.407622 41.5362621, -8.4075097 41.5363412, -8.4073909 41.5364363, -8.4072941 41.5365271, -8.4071902 41.5366411, -8.4070465 41.5368508, -8.4069937 41.5369658, -8.4069535 41.5370937, -8.4067661 41.5377895, -8.406736 41.5378891, -8.4066891 41.5380126, -8.4066314 41.5381265, -8.4065662 41.5382338, -8.406492 41.538334, -8.4063987 41.5384482, -8.4062968 41.5385541, -8.4061962 41.5386456, -8.4060843 41.5387379, -8.4059562 41.5388328, -8.4055578 41.539118, -8.4047778 41.5396641);Avenida Francisco Salgado Zenha
26269015;512515997;True;236.578;LINESTRING (-8.4109098 41.5351124, -8.4108571 41.5351767, -8.4107983 41.5352399, -8.4106878 41.5353375, -8.4105659 41.5354288, -8.4104356 41.5355042, -8.4102832 41.5355729, -8.4101305 41.5356302, -8.4099529 41.5356931, -8.4097799 41.5357478, -8.4096226 41.535786, -8.4094599 41.5358177, -8.4090216 41.5358754, -8.4085849 41.5359323, -8.4084133 41.535961);['Avenida Miguel Torga', 'Avenida Francisco Salgado Zenha']
26269015;1251308143;True;92.597;LINESTRING (-8.4090769 41.5354525, -8.4091044 41.5355038, -8.4091242 41.5355635, -8.409122 41.5355938, -8.4091186 41.5356415, -8.4090957 41.5356897, -8.4090551 41.5357324, -8.408984 41.5357733, -8.4086774 41.5358651, -8.4085427 41.5359082, -8.4084133 41.535961);
26270222;26270224;True;144.583;LINESTRING (-8.4322659 41.5511244, -8.4320706 41.5513795, -8.4315108 41.5521103, -8.4314019 41.5522525);Circular Norte de Braga
26270222;26270465;True;2033.9179999999992;LINESTRING (-8.4457755 41.5361016, -8.4457043 41.5362267, -8.4456214 41.5363522, -8.4454867 41.5365242, -8.4453024 41.5367429, -8.4450564 41.5370001, -8.444606 41.5374503, -8.4442297 41.5378263, -8.4439359 41.53812, -8.4433087 41.5387469, -8.4424133 41.5396313, -8.4421039 41.5399346, -8.4419048 41.5401458, -8.4418811 41.5401741, -8.441723 41.5403628, -8.4416381 41.5404731, -8.441556 41.5405891, -8.4414078 41.5408215, -8.441198 41.5411728, -8.4410561 41.5414086, -8.4409062 41.5416359, -8.4407523 41.5418654, -8.4406444 41.542009, -8.4405666 41.5421022, -8.440049 41.5427371, -8.4398699 41.5429692, -8.4396878 41.5431884, -8.4395823 41.5433064, -8.4394582 41.5434402, -8.439298 41.5435983, -8.4391165 41.5438, -8.4384504 41.5446544, -8.4379324 41.5452556, -8.4376585 41.5455723, -8.4374616 41.5457907, -8.4371723 41.5460997, -8.4369593 41.546319, -8.4366633 41.5466193, -8.436352 41.5469233, -8.4359392 41.5473282, -8.4357427 41.5475429, -8.4355675 41.5477656, -8.4354083 41.5479915, -8.435266 41.5482288, -8.4351419 41.5484707, -8.4349642 41.548831, -8.4348395 41.5490824, -8.4346 41.5495578, -8.4345421 41.5496395, -8.4344697 41.5497178, -8.4343798 41.549789, -8.4342839 41.5498568, -8.4341478 41.5499536, -8.4339994 41.5500446, -8.4338554 41.5501212, -8.433246 41.5503885, -8.4331041 41.5504598, -8.4329723 41.5505284, -8.4328331 41.550611, -8.4326653 41.550727, -8.4324919 41.5508781, -8.4323735 41.5509991, -8.4322659 41.5511244);Circular Norte de Braga
26270222;226624479;True;134.164;LINESTRING (-8.4329875 41.5500545, -8.432977 41.5501242, -8.4329427 41.5502098, -8.4328483 41.5503405, -8.4327743 41.5504339, -8.4327135 41.5505101, -8.4326408 41.5505937, -8.4325864 41.5506563, -8.4324822 41.5507874, -8.432386 41.5509208, -8.4323232 41.5510215, -8.4322659 41.5511244);
26270224;215753608;True;25.533;;Circular Norte de Braga
26270224;245055973;True;200.15900000000005;LINESTRING (-8.4292247 41.5517349, -8.4293418 41.5517428, -8.4295451 41.5517513, -8.4297937 41.5517744, -8.4312104 41.5520121, -8.4312507 41.5520357, -8.4312749 41.552055, -8.4313114 41.552098, -8.4313527 41.552146, -8.431377 41.5521877, -8.4314019 41.5522525);Rua da Boavista
26270465;1106483789;True;147.265;LINESTRING (-8.4453131 41.5350173, -8.4454077 41.5350192, -8.4454854 41.5350322, -8.4455738 41.5350486, -8.4456517 41.5350799, -8.4457175 41.5351251, -8.4457742 41.5351829, -8.4457953 41.5352511, -8.4458038 41.5353377, -8.4457755 41.5361016);
26270465;1106483883;True;175.587;LINESTRING (-8.4459931 41.534559, -8.4460202 41.5346734, -8.4460501 41.5348031, -8.4460622 41.5348859, -8.4460692 41.5349624, -8.4460737 41.5350995, -8.4460656 41.535231, -8.4460501 41.535357, -8.446022 41.535505, -8.4459817 41.5356569, -8.4459302 41.5357984, -8.4458959 41.535882, -8.4458617 41.5359548, -8.4458188 41.5360306, -8.4457755 41.5361016);Circular Norte de Braga
26270505;1594865316;True;624.3770000000001;LINESTRING (-8.4423702 41.5193878, -8.4426096 41.5193189, -8.4428839 41.5192295, -8.4431465 41.5191297, -8.4434029 41.5190216, -8.4436636 41.5188965, -8.4439558 41.5187387, -8.4440963 41.5186556, -8.4442847 41.5185316, -8.4444758 41.5183986, -8.444631 41.5182804, -8.444961 41.5179938, -8.4450711 41.5178926, -8.4454908 41.5174945, -8.445598 41.517402, -8.4457119 41.5173131, -8.4458437 41.5172298, -8.4459921 41.5171583, -8.4461428 41.517106, -8.4462989 41.5170659, -8.446465 41.5170374, -8.4466363 41.5170241, -8.4468663 41.5170156, -8.4471961 41.5170092, -8.447822 41.5169986, -8.4481505 41.5169975, -8.4483248 41.5170056, -8.4484362 41.5170205, -8.4485639 41.5170508, -8.4486769 41.5170966);Circular Sul de Braga
26270505;26270509;True;129.761;LINESTRING (-8.4408459 41.5196267, -8.4412173 41.5195831, -8.4414874 41.5195475, -8.4416655 41.5195207, -8.4418385 41.5194902, -8.4420516 41.5194494, -8.4423702 41.5193878);Circular Sul de Braga
26270505;1109502363;True;433.278;LINESTRING (-8.4423825 41.5176806, -8.4424114 41.5179892, -8.4424448 41.5181547, -8.4425261 41.5183687, -8.442789 41.5189932, -8.4429885 41.5194225, -8.4430462 41.5195506, -8.4430752 41.5196305, -8.4430938 41.5196972, -8.4430991 41.5197664, -8.4430944 41.5198341, -8.4430737 41.5198975, -8.4430406 41.5199612, -8.4429945 41.520017, -8.4429373 41.5200658, -8.4428604 41.5201094, -8.4427835 41.5201404, -8.4426926 41.5201613, -8.4425674 41.5201706, -8.442457 41.5201628, -8.4423615 41.520139, -8.4422739 41.5201034, -8.4422008 41.5200567, -8.4421483 41.520011, -8.4421141 41.5199735, -8.4420759 41.5199136, -8.4420517 41.5198551, -8.4420399 41.5197809, -8.4420464 41.5197185, -8.4420638 41.5196583, -8.4420973 41.5196005, -8.442153 41.5195338, -8.4422529 41.5194604, -8.4423702 41.5193878);
26270509;1109502436;True;499.2730000000001;LINESTRING (-8.4408459 41.5196267, -8.4409544 41.5196346, -8.4410928 41.5196505, -8.4412472 41.5196719, -8.4413897 41.5197047, -8.441582 41.5197744, -8.4417985 41.519889, -8.4419861 41.5200172, -8.4421444 41.5201167, -8.442263 41.5201729, -8.4423768 41.5202111, -8.4424883 41.5202321, -8.4425956 41.5202354, -8.442721 41.5202211, -8.4428326 41.5201922, -8.4429188 41.5201558, -8.4429887 41.5201134, -8.4430589 41.5200524, -8.4431109 41.5199942, -8.4431474 41.5199329, -8.4431735 41.5198565, -8.4431776 41.5197757, -8.4431717 41.5196962, -8.4431521 41.5196208, -8.4431186 41.5195375, -8.4430572 41.5194005, -8.4428545 41.5189686, -8.4426316 41.5184516, -8.4425576 41.5182776, -8.4424952 41.5180788, -8.4424829 41.5180039, -8.4424791 41.5179133, -8.4424946 41.51777, -8.4425219 41.5176704, -8.4425738 41.5175606);
26270740;1788717619;True;385.4790000000001;LINESTRING (-8.424711 41.5186584, -8.4248349 41.5186319, -8.4253414 41.5183561, -8.4257456 41.518178, -8.4262042 41.518014, -8.4276734 41.5175802, -8.4278752 41.517526, -8.4279745 41.5175092, -8.428061 41.5175037, -8.4281785 41.5175065, -8.4282694 41.5175253, -8.4283638 41.5175637, -8.4284412 41.5176126, -8.4285053 41.5176724, -8.4285538 41.5177434, -8.4285874 41.5178185, -8.4286133 41.5179519);
26270740;224572059;True;515.173;LINESTRING (-8.4202457 41.5218647, -8.420413 41.5217467, -8.4237974 41.5192774, -8.4240824 41.5190695, -8.424711 41.5186584);Circular Sul de Braga
26270764;1563791987;True;72.042;LINESTRING (-8.4104938 41.5355921, -8.410589 41.5355413, -8.4106735 41.5354812, -8.4108044 41.5353772, -8.4109158 41.5352769, -8.4109982 41.5351945, -8.4110671 41.5351125);Avenida Miguel Torga
26270764;213758545;True;31.086;LINESTRING (-8.4104938 41.5355921, -8.4105907 41.5355838, -8.4106532 41.5355854, -8.410705 41.5355953, -8.4107417 41.5356098, -8.4107714 41.5356402, -8.4107878 41.5356897);
