u;v;oneway;length;geometry;name
243777037;243777880;False;19.808;LINESTRING (-8.4254406 41.5539449, -8.4254558 41.5539341, -8.4255311 41.5538809, -8.425608 41.5538184);Rua Gabriel Pereira de Castro
243777880;243891839;True;16.686;LINESTRING (-8.4257325 41.5537041, -8.4256692 41.5537836, -8.425608 41.5538184);Rua do Carmo
243857805;243857806;False;38.59;LINESTRING (-8.4221996 41.5481954, -8.4223091 41.5482804, -8.4223802 41.5483355, -8.4225092 41.5484534);Rua São Lázaro
243857806;1462972897;False;85.057;LINESTRING (-8.4225092 41.5484534, -8.4217503 41.5488867, -8.4216966 41.5489174);Rua do Raio
243857806;243857807;True;97.713;;Rua de São Lázaro
243857807;1603656860;True;46.338;LINESTRING (-8.4231686 41.5491805, -8.4234495 41.5490815, -8.4236724 41.549003);Largo Carlos Amarante
243857807;243857884;True;97.832;LINESTRING (-8.4241126 41.5496353, -8.4240377 41.5496226, -8.4239666 41.5496256, -8.4238941 41.5496246, -8.4238441 41.5496207, -8.4238054 41.5496099, -8.4237605 41.5495935, -8.4236972 41.5495631, -8.4236062 41.5495069, -8.4234627 41.5494173, -8.4234359 41.5494006, -8.4233019 41.5493074, -8.4231686 41.5491805);['Largo Carlos Amarante', 'Largo de Santa Cruz']
243857884;1480202760;True;181.001;LINESTRING (-8.4241126 41.5496353, -8.4242198 41.5494865, -8.424436 41.5491809, -8.4246267 41.5489539, -8.424882 41.5487085, -8.4251593 41.5484607, -8.4253295 41.5483511, -8.4253477 41.5483108);Rua do Anjo
243857884;245054958;True;264.082;LINESTRING (-8.4270732 41.5490582, -8.4267239 41.5491645, -8.4262415 41.549313, -8.4255056 41.5495322, -8.4253887 41.549567, -8.4248484 41.5497331, -8.4247553 41.5497531, -8.4246168 41.5497646, -8.4245062 41.5497527, -8.4243995 41.5497308, -8.4242671 41.5496915, -8.4241126 41.5496353);Rua Dom Afonso Henriques
243891817;1331166091;True;63.59;LINESTRING (-8.4276208 41.5521182, -8.4275525 41.5520516, -8.4274023 41.5515768);Rua de Santo António
243891817;245055914;False;56.837;LINESTRING (-8.4276208 41.5521182, -8.4278739 41.5520222, -8.4282321 41.5518902);Praça Conselheiro Torres de Almeida
243891817;243891818;False;79.798;LINESTRING (-8.4276208 41.5521182, -8.427758 41.5524327, -8.4279143 41.5528014);Praça Conde Agrolongo
243891818;243891939;False;112.73899999999999;LINESTRING (-8.4279143 41.5528014, -8.4277597 41.5528093, -8.4272055 41.5528376, -8.4266146 41.5528677, -8.4265626 41.5528703);Praça Conde de Agrolongo
243891818;361091678;True;96.442;LINESTRING (-8.428255 41.5536304, -8.427932 41.5528464, -8.4279143 41.5528014);Rua Alferes Alfredo Ferreira
243891839;243891852;True;26.805;LINESTRING (-8.4257325 41.5537041, -8.4257421 41.5538284, -8.4257828 41.5539409);Rua do Carmo
243891839;4991405942;True;141.568;LINESTRING (-8.4264131 41.5528776, -8.4263643 41.5529028, -8.425767 41.5529241, -8.4257675 41.553439, -8.4257325 41.5537041);['Praça Conde Agrolongo', 'Rua do Carmo']
243891845;243891939;True;130.43699999999998;LINESTRING (-8.4265672 41.5540336, -8.4266162 41.55394, -8.4266032 41.5537383, -8.4266216 41.5536698, -8.4265981 41.5533518, -8.4265779 41.5530767, -8.4265672 41.552932, -8.4265626 41.5528703);Avenida Visconde Nespereira
243891845;1480221499;True;108.232;LINESTRING (-8.4265672 41.5540336, -8.4264992 41.554106, -8.4267882 41.5548222, -8.4269297 41.5549087);Praça do Comércio
243891845;361091678;True;147.432;LINESTRING (-8.4265672 41.5540336, -8.4267279 41.553999, -8.4281561 41.5536543, -8.428255 41.5536304);Praça do Comércio
243891845;243891852;True;66.386;LINESTRING (-8.4257828 41.5539409, -8.4258413 41.5539502, -8.4260539 41.553984, -8.426383 41.5540363, -8.4265672 41.5540336);Travessa do Carmo
243891925;4991405942;True;92.574;LINESTRING (-8.4264131 41.5528776, -8.4263647 41.552863, -8.4259003 41.5528809, -8.4256952 41.552896, -8.4253161 41.552962);Túnel da Praça Conde de Agrolongo
243891939;4991405942;True;12.467;;Praça Conde de Agrolongo
244029709;244029709;True;142.84199999999998;LINESTRING (-8.4250881 41.5549102, -8.4253589 41.5549464, -8.4255355 41.5549688, -8.4257161 41.5549907, -8.4257411 41.5549858, -8.425766 41.5549691, -8.4257687 41.5549335, -8.4256994 41.554757, -8.4256609 41.5547144, -8.4256175 41.554704, -8.4252911 41.5547801, -8.4251766 41.5548386, -8.4251335 41.5548624, -8.4250881 41.5549102);Praça da Galiza
244029709;1640698221;False;35.010000000000005;LINESTRING (-8.4250881 41.5549102, -8.4248671 41.5548869, -8.4247995 41.55489, -8.4246803 41.5549285);
245054852;1786193355;True;28.373;;Rua Dom Afonso Henriques
245054852;245054899;True;111.194;LINESTRING (-8.4283521 41.5486766, -8.4282236 41.5478424, -8.4281873 41.5477424, -8.4281567 41.5476906);Rua Dom Frei Caetano Brandão
245054852;245054853;True;107.456;;Rua Dom Frei Caetano Brandão
245054853;361089893;True;124.19;LINESTRING (-8.428729 41.55074, -8.4286436 41.5503097, -8.4286125 41.5500948, -8.4285442 41.5496977, -8.4285426 41.5496324);Rua Dom Frei Caetano Brandão
245054899;361090716;True;37.059;;Largo Paulo Orósio
245054899;1786193330;True;65.122;LINESTRING (-8.4275169 41.5480278, -8.4280209 41.5477613, -8.4281567 41.5476906);Rua de São Paulo
245054958;361090709;True;32.974;;Rua Dom Afonso Henriques
245054958;1584782241;True;144.136;LINESTRING (-8.426354 41.5478799, -8.4263735 41.5479137, -8.4264051 41.5479684, -8.4264777 41.5480827, -8.426496 41.5481109, -8.4267825 41.5485401, -8.4268164 41.5486143, -8.4270732 41.5490582);['Largo de São Paulo', 'Rua Dom Gonçalo Pereira']
245058608;245058609;True;58.603;;Praça Mouzinho de Albuquerque
245058608;1241195355;False;78.773;LINESTRING (-8.4206764 41.5539199, -8.4206792 41.5539737, -8.4206958 41.5545072, -8.4206995 41.5546281);Rua das Oliveiras
245058608;245058611;True;63.465999999999994;LINESTRING (-8.4201467 41.5535093, -8.4202118 41.5535564, -8.4206764 41.5539199);Praça Mouzinho de Albuquerque
245058609;245058610;True;65.823;;Praça Mouzinho de Albuquerque
245058609;343677045;True;68.594;LINESTRING (-8.4220253 41.5536161, -8.4212583 41.5535715, -8.4212033 41.5535702);Rua Santo André
245058610;245058611;True;59.62;;Praça Mouzinho de Albuquerque
245058610;245058962;True;147.952;LINESTRING (-8.4206632 41.5531377, -8.420661 41.5530995, -8.420614 41.5523793, -8.4205915 41.5521104, -8.4205595 41.5518958, -8.4205498 41.5518102);Rua de São Gonçalo
245058611;1709948072;False;113.248;;Rua de Guadalupe
